A_macrophytes_species_number_msk	A_macrophytes_species_name_taxalistch	A_macrophytes_species_name_latin	A_macrophytes_taxalist_taxagroups	A_macrophytes_taxalist_taxagroups_assign	A_macrophytes_taxalist_growthform_assess_twoforms_grfo	A_macrophytes_taxalist_growthform_assess_twoforms_grfoval	A_macrophytes_taxalist_growthform	A_macrophytes_taxalist_growthform_abbrev	A_macrophytes_taxalist_growthform_assess	A_macrophytes_taxalist_conservationinfo	A_macrophytes_taxalist_indexspecies	A_macrophytes_taxalist_priorityspecies	A_macrophytes_taxalist_redliststatuts	A_macrophytes_taxalist_determination	A_macrophytes_taxalist_determination_trait	A_macrophytes_taxalist_phenology_trait
10001572	Hyophila involuta (Hook.) A.Jaeger	Hyophila involuta (Hook.) A.Jaeger					Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_priority		4	VU	2		
10000174	Jungermannia atrovirens Dumort.	Jungermannia atrovirens Dumort.					Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_index	1			3		
10000179	Jungermannia borealis Damsh. & Vana	Jungermannia borealis Damsh. & Vana					Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_index	1		VU	3		
10000187	Jungermannia exsertifolia subsp. cordifolia (Dumort.) Vana	Jungermannia exsertifolia subsp. cordifolia (Dumort.) Vana					Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_priority		4	VU	3		
10000516	Leptodictyum riparium (Hedw.) Warnst.	Leptodictyum riparium (Hedw.) Warnst.					Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_index	1			2		
10001672	Leskea polycarpa Hedw.	Leskea polycarpa Hedw.					Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_index	2			2		
10003114	Lunularia cruciata (L.) Lindb. subsp. cruciata	Lunularia cruciata (L.) Lindb. subsp. cruciata					Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_index	1			2		
10000290	Marchantia polymorpha L.	Marchantia polymorpha L.					Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_index	1			2		
10003730	Marsupella emarginata subsp. aquatica (Lindenb.) Meyl.	Marsupella emarginata subsp. aquatica (Lindenb.) Meyl.					Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_index	3			2		
10000305	Marsupella emarginata (Ehrh.) Dumort. subsp. emarginata	Marsupella emarginata (Ehrh.) Dumort. subsp. emarginata					Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_index	3			2		
10000331	Nardia compressa (Hook.) Gray	Nardia compressa (Hook.) Gray					Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_index	3		NT	2		
10001747	Orthotrichum cupulatum Brid.	Orthotrichum cupulatum Brid.					Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_index	1			2		
10001109	Palustriella commutata aggr. (P. commutata oder P. falcata)	Palustriella commutata aggr.	1				Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_index	2			2		
10003292	Palustriella commutata (Hedw.) Ochyra 	Palustriella commutata (Hedw.) Ochyra		10001109			Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_index	2			2		
10001117	Palustriella decipiens (De Not.) Ochyra	Palustriella decipiens (De Not.) Ochyra					Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_index	2			2		
10003295	Palustriella falcata (Brid.) Hedenaes 	Palustriella falcata (Brid.) Hedenaes		10001109			Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_index	2			2		
10003824	Pellia endiviifolia (Dicks.) Dumort. subsp. Endiviifolia	Pellia endiviifolia (Dicks.) Dumort. subsp. endiviifolia		30000050			Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_index	1			2		
10002671	Pellia epiphylla aggr. (P. epiphylla oder P. neesiana)	Pellia epiphylla aggr.	1				Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_index	1			2		
10000355	Pellia epiphylla (L.) Corda subsp. epiphylla 	Pellia epiphylla (L.) Corda subsp. epiphylla		10002671			Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_index	1			2		
10003826	Pellia neesiana (Gottsche) Limpr. subsp. neesiana 	Pellia neesiana (Gottsche) Limpr. subsp. neesiana		10002671			Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_index	1			2		
30000050	Pellia sp.	Pellia sp.	1				Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_index	1			1		
10001815	Philonotis caespitosa Jur. 	Philonotis caespitosa Jur.		30000124			Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_priority		4	VU	2		
10001817	Philonotis calcarea (Bruch & Schimp.) Schimp. 	Philonotis calcarea (Bruch & Schimp.) Schimp.		30000124			Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_index	2			2		
10001812	Philonotis capillaris Lindb.  	Philonotis capillaris Lindb.		30000124			Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_index	2			2		
10003837	Philonotis fontana aggr. (P. fontana oder P. tomentella)	Philonotis fontana aggr.	1				Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_index	2			2		
10001818	Philonotis fontana (Hedw.) Brid. 	Philonotis fontana (Hedw.) Brid.		10003837			Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_index	2			2		
10001819	Philonotis marchica 	Philonotis marchica (Hedw.) Brid.		30000124			Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_priority		2	CR	2		
10001821	Philonotis rigida Brid. 	Philonotis rigida Brid.		30000124			Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_priority		4	VU	2		
10001822	Philonotis seriata Mitt. 	Philonotis seriata Mitt.		30000124			Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_index	2			2		
10001823	Philonotis tomentella Molendo 	Philonotis tomentella Molendo		10003837			Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_index	2			2		
30000124	Philonotis sp.	Philonotis sp.	1				Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_index	2			1		
10000371	Porella cordaeana (Huebener) Moore	Porella cordaeana (Huebener) Moore					Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_priority		3	EN	2		
10002076	Racomitrium aciculare (Hedw.) Brid.	Racomitrium aciculare (Hedw.) Brid.					Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_index	2			2		
10002077	Racomitrium aquaticum (Schrad.) Brid.	Racomitrium aquaticum (Schrad.) Brid.					Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_index	2			2		
10002124	Rhynchostegium riparioides (Hedw.) Cardot	Rhynchostegium riparioides (Hedw.) Cardot					Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_index	1			2		
10002618	Riccia fluitans aggr. ( R. fluitans oder R. rhenana)	Riccia fluitans aggr.	1				Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_priority		4		1		
10000417	Riccia fluitans L.	Riccia fluitans L.		10002618			Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_priority		4	VU	3		
10000424	Riccia rhenana Muell.Frib.	Riccia rhenana Muell.Frib.		10002618			Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_priority		4	DD	3		
10000429	Ricciocarpos natans (L.) Corda	Ricciocarpos natans (L.) Corda					Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_priority		4	VU	1		
10000447	Scapania irrigua (Nees) Nees subsp. irrigua	Scapania irrigua (Nees) Nees subsp. irrigua					Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_index	1			3		
10000455	Scapania paludicola Loeske & Muell.Frib.	Scapania paludicola Loeske & Muell.Frib.					Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_index	1			3		
10000467	Scapania paludosa (Muell.Frib.) Muell.Frib. 	Scapania paludosa (Muell.Frib.) Muell.Frib.		10002621			Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_index	2			3		
10004071	Scapania subalpina (Lindenb.) Dumort. 	Scapania subalpina (Lindenb.) Dumort.		10004076			Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_index	2			3		
10002621	Scapania uliginosa aggr. (S. paludosa oder S. uliginosa)	Scapania uliginosa aggr.	1				Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_index	2			3		
10000465	Scapania uliginosa (Lindenb.) Dumort. 	Scapania uliginosa (Lindenb.) Dumort.		10002621			Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_index	2			3		
10004076	Scapania undulata aggr. (S. subalpina oder  S. undulata)	Scapania undulata aggr. (Scapania subalpina (Lindenb.) Dumort., Scapania undulata s. str.)	1				Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_index	2			3		
10000469	Scapania undulata (L.) Dumort. 	Scapania undulata (L.) Dumort.		10004076			Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_index	2			3		
10002143	Schistidium agassizii Sull. & Lesq.	Schistidium agassizii Sull. & Lesq.					Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_priority		4	VU	2		
10004097	Schistidium platyphyllum (Mitt.) H.Perss. subsp. platyphyllum 	Schistidium platyphyllum (Mitt.) H.Perss. subsp. platyphyllum		10002163			Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_index	3			2		
10002168	Schistidium rivulare (Brid.) Podp. 	Schistidium rivulare (Brid.) Podp.		10002163			Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_index	3			2		
10002163	Schistidium rivulare aggr. (S. platyphyllum oder S. rivulare)	Schistidium rivulare aggr.	1				Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_index	3			2		
10000739	Sciuro-Hypnum plumosum (Hedw.) Ignatov & Huttunen	Sciuro-Hypnum plumosum (Hedw.) Ignatov & Huttunen					Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_index	2			2		
10000199	Solenostoma obovatum (Nees) C.Massal.	Solenostoma obovatum (Nees) C.Massal.					Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_index	1			3		
10002316	Thamnobryum alopecurum (Hedw.) Gangulee	Thamnobryum alopecurum (Hedw.) Gangulee					Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_index	1			1		
10004265	Tritomaria polita (Nees) Jorg. subsp. polita	Tritomaria polita (Nees) Jorg. subsp. polita					Bryide	L_macrophytes_taxalist_growthform_abbrev_bry	L_macrophytes_taxalist_growthform_assess_bryophyte	L_macrophytes_taxalist_conservationinfo_index	2			2		
50000001	Bryophyta	Bryophyta	1				Bryide	L_macrophytes_taxalist_growthform_abbrev_brysum	L_macrophytes_taxalist_growthform_assess_bryophyte					1		
50000004	faedige Gruenalgen	faedige Gruenalgen	1				Faedige Alge	L_macrophytes_taxalist_growthform_abbrev_alg	L_macrophytes_taxalist_growthform_assess_algae					1		
